101,167,000-980;988;998;999
101,173,000;010;020;030;040;050;060;070;988;991;998;999
101,184,00-90;95;97-99
101,186,0;2-7;9
101,187,0;2-7;9
101,188,c0;c1;p1;88
101,189,cX;c0;c1;88
101,190,1-4;99;88
101,191,cX;c0;c1;c2;c3;c4;88
101,192,c0;c1;p1;88
101,193,pX;p0;p1;c0;88
101,194,1-4;99;88
101,195,pX;p0;p1;p2;p3;p4;88
46,185,000-980;988;997-999
46,167,010;020;030;988;997-999
46,173,000-980;988;997-999
46,184,00-90;95;97-99
46,186,0;2-7;9
46,187,0;2-7;9
46,188,c0;c1;p1;88
46,189,cX;c0;c1;88
46,190,0 ;1A;1B;2 ;2A;2B;3 ;4 ;99;88
46,191,cX;c0;pIS;c1;c2;c3;c4;88
46,192,c0;c1;p1;88
46,193,pX;p0;p1;c0;88
46,194,0 ;1A;1B;2 ;2A;2B;3 ;4 ;99;88
46,195,pX;p0;pIS;p1;p2;p3;p4;88
42,185,000;010;020;030;040;050;060;070;988;997-999
42,184,00-90;95;97-99
42,186,0;2-7;9
42,187,0;2-7;9
42,188,c0;c1;p1;88
42,189,cX;c0;c1;c2;c3;88
42,190,0;1;2;3;3A;3B;4;99;88
42,191,cX;c0;pIS;c1;c2;c3;c4;88
42,192,c0;c1;p1;88
42,193,pX;p0;p1;p2;p3;c0;88
42,194,0;1;2;3;3A;3B;4;99;88
42,195,pX;p0;pIS;p1;p2;p3;p4;88
72,185,010;020;030;988;997-999
72,157,010;020;030;988;997-999
72,158,010;011;020;021;030;040;988;998;999
72,159,000-980;988;997-999
72,173,000-980;988;997-999
72,174,000-081;988;990;998;999
72,177,020;040;050;060;988;997-999
72,184,00-90;95;97-99
72,186,0;2-7;9
72,187,0;2-7;9
72,188,c0;c1;c1A;c1B;p1;p1A;p1B;88
72,189,cX;c0;c1;c2;88
72,190,0 ;1 ;2 ;2A;2B;2C;3 ;3A;3B;3C;4 ;4A;4B;4C;99;88
72,191,cX;c0;pIS;c1;c2;c3;c4;c4A;c4B;88
72,192,c0;c1;c1A;c1B;p1;p1A;p1B;88
72,193,pX;p0;p1;p2;c0;88
72,194,0 ;1 ;2 ;2A;2B;2C;3 ;3A;3B;3C;4 ;4A;4B;4C;99;88
72,195,pX;p0;pIS;p1;p2;p3;p4;p4A;p4B;88
35,185,010;020;030;988;997-999
35,158,000;010;988;999
35,159,000-980;988;997-999
35,167,000;001;988;999
35,173,000-010;020;030;040;050;060;070;080;090;100;120;130;140;150;160;170;180;190;200;988;997-999
35,184,00-90;95;97-99
35,186,0;2-7;9
35,187,0;2-7;9
35,188,c0;c1;p1;88
35,189,cX;c0;c1;88
35,190,0 ;1 ;2 ;3 ;4A;4B;99;88
35,191,cX;c0;pIS;c1;c2;c2A;c2B;c3;c4;88
35,192,c0;c1;p1;88
35,193,pX;p0;p1;c0;88
35,194,0 ;1 ;2 ;3 ;4A;4B;99;88
35,195,pX;p0;pIS;p1;p2;p2A;p2B;p3;p4;88
24,185,010;020;987;988;998;999
24,167,000-980;988;990-997;999
24,173,000;010;020;030;988;999
24,184,00-90;95;97-99
24,186,0;2-7;9
24,187,0;2-7;9
24,188,c0;c1;p1;88
24,189,cX;c0;c1;c2;c3;88
24,190,0A ;0IS;1  ;2  ;3  ;4;99;88
24,191,cX;c0;pA;pIS;c1;c2;c3;c4;c4A;c4B;88
24,192,c0;c1;p1;88
24,193,pX;p0;p1;p2;p3;c0;88
24,194,0A ;0IS;1  ;2  ;3  ;4;99;88
24,195,pX;p0;pA;pIS;p1;p2;p2A;p2B;p3;p3A;p3B;p4;p4A;p4B;88
80,185,000-980;988;990-997;999
80,167,000-980;988;990-997;999
80,173,000-100;988;990;998;999
80,174,000-050;099;988;999
80,184,00-90;95;97-99
80,186,0;2-7;9
80,187,0;2-7;9
80,188,c0;c1;c1A;c1B;p1;p1A;p1B;88
80,189,cX;c0;c1;88
80,190,1A;1B;2A;2B;3 ;4 ;4A;4B;99;88
80,191,cX;c0;c1;c2;c3;88
80,192,c0;c1;c1A;c1B;p1;p1A;p1B;88
80,193,pX;p0;p1;c0;88
80,194,1A;1B;2A;2B;3 ;4 ;4A;4B;99;88
80,195,pX;p0;p1;p2;p3;88
18,185,010;020;030;040;988;998;999
18,167,000-100;200;300;400;988;997-999
18,173,000;010;020;030;040;050;060;070;080;090;100;988;999
18,174,010;020;988;998;999
18,175,010;020;988;997-999
18,176,010;020;988;997-999
18,177,000;010;020;021;030;040;055;090;988;999
18,178,001;002;988;999
1,185,010;020;030;988;996-999
1,157,100-980;988;991;997-999
1,158,010;020;030;988;997-999
1,159,100-980;988;991;997-999
1,160,010;020;030;988;997-999
1,161,010;020;030;988;997-999
1,162,010;020;030;988;997-999
1,163,000;001;010;011;100;101;110;111;988;999
1,164,010;020;030;040;110;120;130;140;210;220;230;240;988;997-999
1,165,010;020;025;030;040;110;120;130;140;210;220;230;240;988;997-999
1,166,000;010;015;020;025;027;030;040;050;060;070;100;110;120;123;125;127;130;150;988;999
1,167,010;020;030;988;996-999
1,168,000;005;010;020;030;040;988;999
1,169,010;020;025;030;987;988;999
1,170,010;020;030;040;988;998;999
1,171,000-100;200;300;400;988;997-999
1,172,000;010;020;988;999
1,173,000-090;095;097-099;988
1,174,000-002;009;987;988
1,175,000-002;987;988
1,176,000;010;020;030;040;050;060;987;988
1,177,030;040;050;060;070;080;090;110;120;130;988;998;999
1,178,000;010;020;030;988;997-999
1,179,010;020;030;988;997-999
1,184,00-90;95;97-99
1,186,0;2-7;9
1,187,0;2-7;9
1,188,c0;c0I+;c1;p1;88
1,189,cX;c0;c1;c2;c2A;c2B;c3;c3A;c3B;c3C;88
1,190,0 ;1A;2A;2B;3;3A;3B;3C;4;99;88
1,191,cX;c0;pIS;c1;c1MI;c1A;c1B;c1C;c2;c3;c4;c4A;c4B;c4C;c4D;88
1,192,c0;c0I+;c1;p1;88
1,193,pX;p0;p0I-;p0I+;p0M-;p0M+;p1;p1MI;p1A;p1B;p1C;p2;p2A;p2B;p3;p3A;p3B;p3C;c0;88
1,194,0 ;1A;1B;2A;2B;3;3A;3B;3C;4;99;88
1,195,pX;p0;pIS;p1;p1MI;p1A;p1B;p1C;p2;p3;p4;p4A;p4B;p4C;p4D;88
71,185,000-980;988;990-997;999
71,157,000;010;020;030;040;050;060;070;988;997-999
71,158,000-980;987;988;990;998;999
71,173,000;100;010;001;110;101;011;111;988;999
71,174,000;100;010;001;110;101;011;111;988;999
71,175,000;100;010;001;110;101;011;111;988;999
71,176,000;100;010;001;110;101;011;111;988;999
71,177,000;010;020;030;040;988;999
71,178,000;010;020;030;988;997-999
71,179,000;010;020;030;040;050;988;997-999
71,184,00-90;95;97-99
71,186,0;2-7;9
71,187,0;2-7;9
71,188,c0;c1;p1;88
