11.92925,C619,8140,3,144,144,144
0.88118,C341,8140,3,3,3,3
0.85516,C341,8070,3,3,3,3
0.78655,C187,8140,3,4,4,5
0.74640,C209,8140,3,7,7,5
0.62550,C649,8312,3,11,11,11
0.61496,C220,8170,3,21,21,21
0.55814,C421,9732,3,8,8,9
0.49288,C421,9823,3,13,13,14
0.45899,C180,8140,3,4,4,5
0.45703,C649,8310,3,11,11,11
0.40882,C343,8070,3,3,3,3
0.40681,C679,8130,3,24,24,24
0.38767,C343,8140,3,3,3,3
0.38058,C679,8130,2,24,24,24
0.36759,C199,8140,3,7,7,5
0.35925,C445,8720,3,19,19,19
0.35813,C182,8140,3,4,4,5
0.33225,C619,8010,3,144,144,144
0.32663,C349,8140,3,3,3,3
0.32625,C341,8010,3,3,3,3
0.31843,C250,8140,3,15,15,16
0.29872,C679,8120,3,24,24,24
0.29523,C341,8041,3,3,3,3
0.29269,C809,8140,3,12,,12
0.29140,C320,8070,3,41,41,41
0.26946,C349,8010,3,3,3,3
0.26910,C445,8743,3,19,19,19
0.25195,C672,8130,2,24,24,24
0.24721,C421,9861,3,13,13,20
0.23247,C349,8000,3,3,3,3
0.22868,C160,8140,3,33,33,33
0.22358,C341,8046,3,3,3,3
0.22261,C155,8140,3,37,37,33
0.22105,C445,8720,2,19,19,19
0.21755,C184,8140,3,4,4,5
0.21368,C809,8010,3,12,,12
0.21291,C619,8000,3,144,144,144
0.20518,C446,8720,3,19,19,19
0.19793,C349,8070,3,3,3,3
0.18596,C629,9061,3,145,145,145
0.17783,C341,8012,3,3,3,3
0.17420,C443,8742,2,19,19,19
0.17185,C672,8130,3,24,24,24
0.17094,C186,8140,3,4,4,5
0.16868,C809,8000,3,12,,12
0.16167,C349,8041,3,3,3,3
0.15598,C778,9680,3,23,23,23
0.15428,C019,8070,3,39,39,40
0.15105,C321,8070,3,29,29,29
0.14773,C739,8260,3,10,10,10
0.14329,C446,8720,2,19,19,19
0.13725,C343,8010,3,3,3,3
0.13484,C446,8743,3,19,19,19
0.13285,C421,9989,3,13,13,20
